date,description,category,amount
2026-06-09,OUT - Notion [Software Tools],Software Tools,-2765
2026-06-09,OUT - Swiggy Office [Office],Office,-2167
2026-06-09,OUT - Uber for Business [Travel],Travel,-1236
2026-06-10,IN - Acme Subscriptions (MRR),Revenue,24041
2026-06-10,IN - Enterprise Licenses,Revenue,7590
2026-06-10,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5106
2026-06-10,OUT - Payroll - Team [Payroll],Payroll,-21529
2026-06-10,OUT - Google Ads [Marketing],Marketing,-5915
2026-06-10,OUT - Slack [Software Tools],Software Tools,-2424
2026-06-10,OUT - Swiggy Office [Office],Office,-1329
2026-06-10,OUT - MakeMyTrip [Travel],Travel,-1143
2026-06-11,IN - Acme Subscriptions (MRR),Revenue,23703
2026-06-11,IN - Enterprise Licenses,Revenue,10026
2026-06-11,IN - Professional Services,Revenue,5150
2026-06-11,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5075
2026-06-11,OUT - Payroll - Team [Payroll],Payroll,-22981
2026-06-11,OUT - LinkedIn Ads [Marketing],Marketing,-5456
2026-06-11,OUT - Notion [Software Tools],Software Tools,-3420
2026-06-11,OUT - Swiggy Office [Office],Office,-2182
2026-06-11,OUT - Uber for Business [Travel],Travel,-1594
2026-06-12,IN - Acme Subscriptions (MRR),Revenue,26506
2026-06-12,IN - Enterprise Licenses,Revenue,7991
2026-06-12,IN - Professional Services,Revenue,5641
2026-06-12,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5182
2026-06-12,OUT - Payroll - Team [Payroll],Payroll,-21859
2026-06-12,OUT - LinkedIn Ads [Marketing],Marketing,-5108
2026-06-12,OUT - Slack [Software Tools],Software Tools,-3277
2026-06-12,OUT - Swiggy Office [Office],Office,-1837
2026-06-12,OUT - MakeMyTrip [Travel],Travel,-1474
2026-06-13,IN - Acme Subscriptions (MRR),Revenue,9471
2026-06-13,IN - Enterprise Licenses,Revenue,3434
2026-06-13,IN - Professional Services,Revenue,645
2026-06-13,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4632
2026-06-13,OUT - LinkedIn Ads [Marketing],Marketing,-3637
2026-06-13,OUT - Datadog [Software Tools],Software Tools,-2558
2026-06-13,OUT - Swiggy Office [Office],Office,-2287
2026-06-13,OUT - MakeMyTrip [Travel],Travel,-498
2026-06-14,IN - Acme Subscriptions (MRR),Revenue,8619
2026-06-14,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4501
2026-06-14,OUT - Meta Ads [Marketing],Marketing,-2947
2026-06-14,OUT - Uber for Business [Travel],Travel,-1770
2026-06-15,IN - Acme Subscriptions (MRR),Revenue,24689
2026-06-15,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4617
2026-06-15,OUT - Payroll - Team [Payroll],Payroll,-21152
2026-06-15,OUT - LinkedIn Ads [Marketing],Marketing,-3622
2026-06-15,OUT - GitHub [Software Tools],Software Tools,-2950
2026-06-15,OUT - Swiggy Office [Office],Office,-1437
2026-06-16,IN - Acme Subscriptions (MRR),Revenue,27276
2026-06-16,OUT - Payroll - Team [Payroll],Payroll,-21586
2026-06-16,OUT - Google Ads [Marketing],Marketing,-5274
2026-06-16,OUT - Slack [Software Tools],Software Tools,-3263
2026-06-16,OUT - Uber for Business [Travel],Travel,-1788
2026-06-17,IN - Acme Subscriptions (MRR),Revenue,24607
2026-06-17,IN - Professional Services,Revenue,4792
2026-06-17,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5662
2026-06-17,OUT - Payroll - Team [Payroll],Payroll,-22622
2026-06-17,OUT - Google Ads [Marketing],Marketing,-5081
2026-06-17,OUT - Datadog [Software Tools],Software Tools,-2578
2026-06-17,OUT - Swiggy Office [Office],Office,-1374
2026-06-17,OUT - Uber for Business [Travel],Travel,-1752
2026-06-18,IN - Acme Subscriptions (MRR),Revenue,27179
2026-06-18,IN - Professional Services,Revenue,2429
2026-06-18,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4695
2026-06-18,OUT - Payroll - Team [Payroll],Payroll,-23024
2026-06-18,OUT - LinkedIn Ads [Marketing],Marketing,-6011
2026-06-18,OUT - Notion [Software Tools],Software Tools,-3256
2026-06-18,OUT - WeWork / Office [Office],Office,-1525
2026-06-18,OUT - IndiGo [Travel],Travel,-1117
2026-06-19,IN - Acme Subscriptions (MRR),Revenue,25753
2026-06-19,IN - Enterprise Licenses,Revenue,10465
2026-06-19,IN - Professional Services,Revenue,4984
2026-06-19,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5462
2026-06-19,OUT - Payroll - Team [Payroll],Payroll,-20963
2026-06-19,OUT - LinkedIn Ads [Marketing],Marketing,-3464
2026-06-19,OUT - Notion [Software Tools],Software Tools,-3332
2026-06-19,OUT - WeWork / Office [Office],Office,-1818
2026-06-20,IN - Acme Subscriptions (MRR),Revenue,10059
2026-06-20,IN - Enterprise Licenses,Revenue,2345
2026-06-20,OUT - AWS India [Cloud Infra],Cloud Infra,-5182
2026-06-20,OUT - LinkedIn Ads [Marketing],Marketing,-5025
2026-06-20,OUT - Notion [Software Tools],Software Tools,-2124
2026-06-20,OUT - Swiggy Office [Office],Office,-2007
2026-06-20,OUT - Uber for Business [Travel],Travel,-980
2026-06-21,IN - Acme Subscriptions (MRR),Revenue,8894
2026-06-21,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5084
2026-06-21,OUT - LinkedIn Ads [Marketing],Marketing,-3967
2026-06-21,OUT - GitHub [Software Tools],Software Tools,-2452
2026-06-21,OUT - Amazon Office Supplies [Office],Office,-1601
2026-06-21,OUT - MakeMyTrip [Travel],Travel,-1640
2026-06-22,IN - Acme Subscriptions (MRR),Revenue,29454
2026-06-22,IN - Enterprise Licenses,Revenue,7508
2026-06-22,IN - Professional Services,Revenue,3583
2026-06-22,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5572
2026-06-22,OUT - Payroll - Team [Payroll],Payroll,-22494
2026-06-22,OUT - LinkedIn Ads [Marketing],Marketing,-5697
2026-06-22,OUT - GitHub [Software Tools],Software Tools,-2351
2026-06-22,OUT - WeWork / Office [Office],Office,-1397
2026-06-22,OUT - Uber for Business [Travel],Travel,-1290
2026-06-23,IN - Acme Subscriptions (MRR),Revenue,29311
2026-06-23,IN - Enterprise Licenses,Revenue,7058
2026-06-23,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5415
2026-06-23,OUT - Payroll - Team [Payroll],Payroll,-21126
2026-06-23,OUT - LinkedIn Ads [Marketing],Marketing,-4390
2026-06-23,OUT - Notion [Software Tools],Software Tools,-3452
2026-06-23,OUT - WeWork / Office [Office],Office,-1776
2026-06-23,OUT - Uber for Business [Travel],Travel,-484
2026-06-24,IN - Acme Subscriptions (MRR),Revenue,27086
2026-06-24,IN - Professional Services,Revenue,6067
2026-06-24,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4657
2026-06-24,OUT - Payroll - Team [Payroll],Payroll,-22988
2026-06-24,OUT - LinkedIn Ads [Marketing],Marketing,-3126
2026-06-24,OUT - Slack [Software Tools],Software Tools,-3207
2026-06-24,OUT - Swiggy Office [Office],Office,-1671
2026-06-24,OUT - IndiGo [Travel],Travel,-1349
2026-06-25,IN - Acme Subscriptions (MRR),Revenue,26083
2026-06-25,IN - Professional Services,Revenue,4159
2026-06-25,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5389
2026-06-25,OUT - Payroll - Team [Payroll],Payroll,-23012
2026-06-25,OUT - Google Ads [Marketing],Marketing,-3448
2026-06-25,OUT - Slack [Software Tools],Software Tools,-2214
2026-06-25,OUT - WeWork / Office [Office],Office,-1341
2026-06-25,OUT - IndiGo [Travel],Travel,-1518
2026-06-26,IN - Acme Subscriptions (MRR),Revenue,24135
2026-06-26,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4781
2026-06-26,OUT - Payroll - Team [Payroll],Payroll,-21522
2026-06-26,OUT - Slack [Software Tools],Software Tools,-2470
2026-06-26,OUT - Amazon Office Supplies [Office],Office,-1848
2026-06-26,OUT - MakeMyTrip [Travel],Travel,-806
2026-06-27,IN - Acme Subscriptions (MRR),Revenue,9666
2026-06-27,IN - Enterprise Licenses,Revenue,2994
2026-06-27,OUT - Meta Ads [Marketing],Marketing,-3807
2026-06-27,OUT - Datadog [Software Tools],Software Tools,-3390
2026-06-27,OUT - Amazon Office Supplies [Office],Office,-2004
2026-06-27,OUT - Uber for Business [Travel],Travel,-817
2026-06-28,IN - Acme Subscriptions (MRR),Revenue,9124
2026-06-28,IN - Enterprise Licenses,Revenue,3345
2026-06-28,IN - Professional Services,Revenue,2070
2026-06-28,OUT - AWS India [Cloud Infra],Cloud Infra,-4545
2026-06-28,OUT - Meta Ads [Marketing],Marketing,-5344
2026-06-28,OUT - GitHub [Software Tools],Software Tools,-2228
2026-06-28,OUT - Swiggy Office [Office],Office,-1986
2026-06-28,OUT - MakeMyTrip [Travel],Travel,-1642
2026-06-29,IN - Acme Subscriptions (MRR),Revenue,23717
2026-06-29,IN - Enterprise Licenses,Revenue,10990
2026-06-29,IN - Professional Services,Revenue,2977
2026-06-29,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5436
2026-06-29,OUT - Payroll - Team [Payroll],Payroll,-21299
2026-06-29,OUT - Google Ads [Marketing],Marketing,-4470
2026-06-29,OUT - Notion [Software Tools],Software Tools,-2672
2026-06-29,OUT - Swiggy Office [Office],Office,-2186
2026-06-29,OUT - Uber for Business [Travel],Travel,-1192
2026-06-30,IN - Acme Subscriptions (MRR),Revenue,27811
2026-06-30,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5689
2026-06-30,OUT - Payroll - Team [Payroll],Payroll,-20981
2026-06-30,OUT - LinkedIn Ads [Marketing],Marketing,-3864
2026-06-30,OUT - GitHub [Software Tools],Software Tools,-3255
2026-06-30,OUT - Swiggy Office [Office],Office,-1846
2026-07-01,IN - Acme Subscriptions (MRR),Revenue,26637
2026-07-01,IN - Enterprise Licenses,Revenue,12828
2026-07-01,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5391
2026-07-01,OUT - Payroll - Team [Payroll],Payroll,-22276
2026-07-01,OUT - LinkedIn Ads [Marketing],Marketing,-4677
2026-07-01,OUT - GitHub [Software Tools],Software Tools,-3078
2026-07-01,OUT - Uber for Business [Travel],Travel,-1703
2026-07-02,IN - Acme Subscriptions (MRR),Revenue,26974
2026-07-02,IN - Professional Services,Revenue,5994
2026-07-02,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5279
2026-07-02,OUT - Payroll - Team [Payroll],Payroll,-21798
2026-07-02,OUT - LinkedIn Ads [Marketing],Marketing,-5987
2026-07-02,OUT - Slack [Software Tools],Software Tools,-3007
2026-07-02,OUT - Amazon Office Supplies [Office],Office,-2034
2026-07-02,OUT - IndiGo [Travel],Travel,-1058
2026-07-03,IN - Acme Subscriptions (MRR),Revenue,25699
2026-07-03,IN - Enterprise Licenses,Revenue,10367
2026-07-03,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4800
2026-07-03,OUT - Payroll - Team [Payroll],Payroll,-21218
2026-07-03,OUT - Google Ads [Marketing],Marketing,-4530
2026-07-03,OUT - Datadog [Software Tools],Software Tools,-2487
2026-07-03,OUT - Swiggy Office [Office],Office,-2111
2026-07-03,OUT - IndiGo [Travel],Travel,-835
2026-07-04,IN - Acme Subscriptions (MRR),Revenue,10060
2026-07-04,IN - Enterprise Licenses,Revenue,4189
2026-07-04,IN - Professional Services,Revenue,583
2026-07-04,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5325
2026-07-04,OUT - Meta Ads [Marketing],Marketing,-3235
2026-07-04,OUT - Datadog [Software Tools],Software Tools,-2565
2026-07-04,OUT - WeWork / Office [Office],Office,-1608
2026-07-04,OUT - IndiGo [Travel],Travel,-761
2026-07-05,IN - Acme Subscriptions (MRR),Revenue,9076
2026-07-05,IN - Professional Services,Revenue,2120
2026-07-05,OUT - AWS India [Cloud Infra],Cloud Infra,-5630
2026-07-05,OUT - LinkedIn Ads [Marketing],Marketing,-4403
2026-07-05,OUT - Slack [Software Tools],Software Tools,-3029
2026-07-05,OUT - Amazon Office Supplies [Office],Office,-1300
2026-07-05,OUT - MakeMyTrip [Travel],Travel,-918
2026-07-06,IN - Acme Subscriptions (MRR),Revenue,29267
2026-07-06,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5107
2026-07-06,OUT - Payroll - Team [Payroll],Payroll,-22903
2026-07-06,OUT - Meta Ads [Marketing],Marketing,-4176
2026-07-06,OUT - Notion [Software Tools],Software Tools,-2205
2026-07-06,OUT - Amazon Office Supplies [Office],Office,-2008
2026-07-07,IN - Acme Subscriptions (MRR),Revenue,29607
2026-07-07,IN - Enterprise Licenses,Revenue,5503
2026-07-07,IN - Professional Services,Revenue,2017
2026-07-07,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5472
2026-07-07,OUT - Payroll - Team [Payroll],Payroll,-21736
2026-07-07,OUT - LinkedIn Ads [Marketing],Marketing,-5895
2026-07-07,OUT - GitHub [Software Tools],Software Tools,-2150
2026-07-07,OUT - Swiggy Office [Office],Office,-1999
2026-07-07,OUT - IndiGo [Travel],Travel,-1615
2026-07-08,IN - Acme Subscriptions (MRR),Revenue,28879
2026-07-08,IN - Enterprise Licenses,Revenue,5912
2026-07-08,IN - Professional Services,Revenue,4431
2026-07-08,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5606
2026-07-08,OUT - Payroll - Team [Payroll],Payroll,-22820
2026-07-08,OUT - Google Ads [Marketing],Marketing,-3778
2026-07-08,OUT - Swiggy Office [Office],Office,-1577
2026-07-08,OUT - IndiGo [Travel],Travel,-770
2026-07-09,IN - Acme Subscriptions (MRR),Revenue,25679
2026-07-09,IN - Enterprise Licenses,Revenue,8696
2026-07-09,OUT - AWS India [Cloud Infra],Cloud Infra,-5656
2026-07-09,OUT - Payroll - Team [Payroll],Payroll,-21285
2026-07-09,OUT - Meta Ads [Marketing],Marketing,-3567
2026-07-09,OUT - Notion [Software Tools],Software Tools,-2746
2026-07-09,OUT - Swiggy Office [Office],Office,-1980
2026-07-09,OUT - MakeMyTrip [Travel],Travel,-1498
2026-07-10,IN - Acme Subscriptions (MRR),Revenue,27505
2026-07-10,IN - Enterprise Licenses,Revenue,6613
2026-07-10,OUT - Payroll - Team [Payroll],Payroll,-22980
2026-07-10,OUT - LinkedIn Ads [Marketing],Marketing,-4228
2026-07-10,OUT - Datadog [Software Tools],Software Tools,-2523
2026-07-10,OUT - Swiggy Office [Office],Office,-1375
2026-07-10,OUT - Uber for Business [Travel],Travel,-1326
2026-07-11,IN - Acme Subscriptions (MRR),Revenue,10684
2026-07-11,IN - Enterprise Licenses,Revenue,3101
2026-07-11,IN - Professional Services,Revenue,801
2026-07-11,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5946
2026-07-11,OUT - Meta Ads [Marketing],Marketing,-2729
2026-07-11,OUT - Datadog [Software Tools],Software Tools,-3463
2026-07-11,OUT - WeWork / Office [Office],Office,-2235
2026-07-11,OUT - Uber for Business [Travel],Travel,-952
2026-07-12,IN - Acme Subscriptions (MRR),Revenue,8929
2026-07-12,IN - Professional Services,Revenue,995
2026-07-12,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-4811
2026-07-12,OUT - Google Ads [Marketing],Marketing,-5151
2026-07-12,OUT - GitHub [Software Tools],Software Tools,-3365
2026-07-12,OUT - Amazon Office Supplies [Office],Office,-1736
2026-07-12,OUT - IndiGo [Travel],Travel,-581
2026-07-13,IN - Acme Subscriptions (MRR),Revenue,25515
2026-07-13,IN - Professional Services,Revenue,2839
2026-07-13,OUT - AWS India [Cloud Infra],Cloud Infra,-5068
2026-07-13,OUT - Payroll - Team [Payroll],Payroll,-21191
2026-07-13,OUT - Google Ads [Marketing],Marketing,-5989
2026-07-13,OUT - Datadog [Software Tools],Software Tools,-3255
2026-07-13,OUT - Swiggy Office [Office],Office,-1579
2026-07-13,OUT - MakeMyTrip [Travel],Travel,-1147
2026-07-14,IN - Acme Subscriptions (MRR),Revenue,30051
2026-07-14,IN - Enterprise Licenses,Revenue,5412
2026-07-14,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5928
2026-07-14,OUT - Payroll - Team [Payroll],Payroll,-22493
2026-07-14,OUT - LinkedIn Ads [Marketing],Marketing,-5597
2026-07-14,OUT - WeWork / Office [Office],Office,-1546
2026-07-14,OUT - Uber for Business [Travel],Travel,-1490
2026-07-15,IN - Acme Subscriptions (MRR),Revenue,28533
2026-07-15,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5014
2026-07-15,OUT - Payroll - Team [Payroll],Payroll,-22969
2026-07-15,OUT - Meta Ads [Marketing],Marketing,-4397
2026-07-15,OUT - Slack [Software Tools],Software Tools,-2886
2026-07-15,OUT - Swiggy Office [Office],Office,-1946
2026-07-15,OUT - IndiGo [Travel],Travel,-868
2026-07-16,IN - Acme Subscriptions (MRR),Revenue,30326
2026-07-16,IN - Enterprise Licenses,Revenue,9244
2026-07-16,IN - Professional Services,Revenue,5783
2026-07-16,OUT - Payroll - Team [Payroll],Payroll,-21000
2026-07-16,OUT - Google Ads [Marketing],Marketing,-4473
2026-07-16,OUT - Datadog [Software Tools],Software Tools,-2853
2026-07-16,OUT - Amazon Office Supplies [Office],Office,-1984
2026-07-16,OUT - Uber for Business [Travel],Travel,-1268
2026-07-17,IN - Acme Subscriptions (MRR),Revenue,25448
2026-07-17,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4661
2026-07-17,OUT - Payroll - Team [Payroll],Payroll,-22341
2026-07-17,OUT - LinkedIn Ads [Marketing],Marketing,-6081
2026-07-17,OUT - WeWork / Office [Office],Office,-1739
2026-07-17,OUT - Uber for Business [Travel],Travel,-527
2026-07-18,IN - Acme Subscriptions (MRR),Revenue,9457
2026-07-18,IN - Enterprise Licenses,Revenue,4099
2026-07-18,IN - Professional Services,Revenue,2343
2026-07-18,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5827
2026-07-18,OUT - Google Ads [Marketing],Marketing,-4133
2026-07-18,OUT - Datadog [Software Tools],Software Tools,-3429
2026-07-18,OUT - MakeMyTrip [Travel],Travel,-1434
2026-07-19,IN - Acme Subscriptions (MRR),Revenue,8716
2026-07-19,OUT - Meta Ads [Marketing],Marketing,-6260
2026-07-19,OUT - Slack [Software Tools],Software Tools,-3262
2026-07-19,OUT - WeWork / Office [Office],Office,-2138
2026-07-19,OUT - Uber for Business [Travel],Travel,-608
2026-07-20,IN - Acme Subscriptions (MRR),Revenue,29990
2026-07-20,OUT - Payroll - Team [Payroll],Payroll,-22788
2026-07-20,OUT - Google Ads [Marketing],Marketing,-4645
2026-07-20,OUT - Swiggy Office [Office],Office,-1402
2026-07-20,OUT - IndiGo [Travel],Travel,-760
2026-07-21,IN - Acme Subscriptions (MRR),Revenue,27289
2026-07-21,OUT - Payroll - Team [Payroll],Payroll,-21484
2026-07-21,OUT - Meta Ads [Marketing],Marketing,-4594
2026-07-21,OUT - Amazon Office Supplies [Office],Office,-1651
2026-07-22,IN - Acme Subscriptions (MRR),Revenue,26003
2026-07-22,IN - Enterprise Licenses,Revenue,9031
2026-07-22,IN - Professional Services,Revenue,4513
2026-07-22,OUT - AWS India [Cloud Infra],Cloud Infra,-5895
2026-07-22,OUT - Payroll - Team [Payroll],Payroll,-22500
2026-07-22,OUT - Google Ads [Marketing],Marketing,-6170
2026-07-22,OUT - Datadog [Software Tools],Software Tools,-3286
2026-07-22,OUT - Swiggy Office [Office],Office,-1789
2026-07-23,IN - Acme Subscriptions (MRR),Revenue,24711
2026-07-23,IN - Enterprise Licenses,Revenue,12810
2026-07-23,IN - Professional Services,Revenue,6442
2026-07-23,OUT - Payroll - Team [Payroll],Payroll,-22238
2026-07-23,OUT - Meta Ads [Marketing],Marketing,-4948
2026-07-23,OUT - Notion [Software Tools],Software Tools,-2555
2026-07-23,OUT - WeWork / Office [Office],Office,-1914
2026-07-23,OUT - Uber for Business [Travel],Travel,-552
2026-07-24,IN - Acme Subscriptions (MRR),Revenue,30054
2026-07-24,IN - Professional Services,Revenue,2801
2026-07-24,OUT - AWS India (RDS) [Cloud Infra],Cloud Infra,-5620
2026-07-24,OUT - Payroll - Team [Payroll],Payroll,-22804
2026-07-24,OUT - LinkedIn Ads [Marketing],Marketing,-3523
2026-07-24,OUT - GitHub [Software Tools],Software Tools,-2658
2026-07-24,OUT - Swiggy Office [Office],Office,-1598
2026-07-24,OUT - IndiGo [Travel],Travel,-616
2026-07-25,IN - Acme Subscriptions (MRR),Revenue,9488
2026-07-25,OUT - Google Ads [Marketing],Marketing,-3036
2026-07-25,OUT - Slack [Software Tools],Software Tools,-2622
2026-07-25,OUT - Amazon Office Supplies [Office],Office,-1893
2026-07-25,OUT - IndiGo [Travel],Travel,-1486
2026-07-26,IN - Acme Subscriptions (MRR),Revenue,10864
2026-07-26,IN - Professional Services,Revenue,1416
2026-07-26,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5458
2026-07-26,OUT - LinkedIn Ads [Marketing],Marketing,-5296
2026-07-26,OUT - Slack [Software Tools],Software Tools,-2592
2026-07-26,OUT - WeWork / Office [Office],Office,-1781
2026-07-26,OUT - MakeMyTrip [Travel],Travel,-1295
2026-07-27,IN - Acme Subscriptions (MRR),Revenue,27323
2026-07-27,IN - Enterprise Licenses,Revenue,14410
2026-07-27,IN - Professional Services,Revenue,5405
2026-07-27,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5316
2026-07-27,OUT - Payroll - Team [Payroll],Payroll,-22759
2026-07-27,OUT - Meta Ads [Marketing],Marketing,-5068
2026-07-27,OUT - Notion [Software Tools],Software Tools,-2353
2026-07-27,OUT - WeWork / Office [Office],Office,-1639
2026-07-27,OUT - IndiGo [Travel],Travel,-1311
2026-07-28,IN - Acme Subscriptions (MRR),Revenue,25563
2026-07-28,IN - Professional Services,Revenue,4695
2026-07-28,OUT - Payroll - Team [Payroll],Payroll,-22530
2026-07-28,OUT - Datadog [Software Tools],Software Tools,-2627
2026-07-28,OUT - Amazon Office Supplies [Office],Office,-1660
2026-07-28,OUT - Uber for Business [Travel],Travel,-1942
2026-07-29,IN - Acme Subscriptions (MRR),Revenue,28189
2026-07-29,IN - Enterprise Licenses,Revenue,5382
2026-07-29,IN - Professional Services,Revenue,4308
2026-07-29,OUT - Payroll - Team [Payroll],Payroll,-21016
2026-07-29,OUT - Google Ads [Marketing],Marketing,-2879
2026-07-29,OUT - Datadog [Software Tools],Software Tools,-3027
2026-07-29,OUT - WeWork / Office [Office],Office,-1707
2026-07-29,OUT - IndiGo [Travel],Travel,-551
2026-07-30,IN - Acme Subscriptions (MRR),Revenue,30307
2026-07-30,IN - Professional Services,Revenue,2133
2026-07-30,OUT - Payroll - Team [Payroll],Payroll,-22392
2026-07-30,OUT - Google Ads [Marketing],Marketing,-3810
2026-07-30,OUT - GitHub [Software Tools],Software Tools,-2939
2026-07-30,OUT - WeWork / Office [Office],Office,-2281
2026-07-30,OUT - MakeMyTrip [Travel],Travel,-846
2026-07-31,IN - Acme Subscriptions (MRR),Revenue,25867
2026-07-31,IN - Enterprise Licenses,Revenue,11381
2026-07-31,OUT - Payroll - Team [Payroll],Payroll,-22543
2026-07-31,OUT - Google Ads [Marketing],Marketing,-4617
2026-07-31,OUT - Notion [Software Tools],Software Tools,-3267
2026-07-31,OUT - MakeMyTrip [Travel],Travel,-431
2026-08-01,IN - Acme Subscriptions (MRR),Revenue,8909
2026-08-01,IN - Enterprise Licenses,Revenue,2532
2026-08-01,IN - Professional Services,Revenue,1724
2026-08-01,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-4541
2026-08-01,OUT - Meta Ads [Marketing],Marketing,-4764
2026-08-01,OUT - Datadog [Software Tools],Software Tools,-2505
2026-08-01,OUT - Uber for Business [Travel],Travel,-1706
2026-08-02,IN - Acme Subscriptions (MRR),Revenue,9626
2026-08-02,IN - Enterprise Licenses,Revenue,3475
2026-08-02,IN - Professional Services,Revenue,974
2026-08-02,OUT - AWS India (EC2) [Cloud Infra],Cloud Infra,-5496
2026-08-02,OUT - Datadog [Software Tools],Software Tools,-2441
2026-08-02,OUT - Swiggy Office [Office],Office,-1687
2026-08-02,OUT - MakeMyTrip [Travel],Travel,-732
2026-08-03,IN - Acme Subscriptions (MRR),Revenue,29537
2026-08-03,OUT - Payroll - Team [Payroll],Payroll,-22293
2026-08-03,OUT - Meta Ads [Marketing],Marketing,-3958
2026-08-03,OUT - Slack [Software Tools],Software Tools,-3004
2026-08-03,OUT - WeWork / Office [Office],Office,-1418
2026-08-03,OUT - Uber for Business [Travel],Travel,-617
2026-08-04,IN - Acme Subscriptions (MRR),Revenue,29273
2026-08-04,OUT - Payroll - Team [Payroll],Payroll,-22993
2026-08-04,OUT - Meta Ads [Marketing],Marketing,-4729
2026-08-04,OUT - Notion [Software Tools],Software Tools,-3394
2026-08-04,OUT - WeWork / Office [Office],Office,-1937
2026-08-04,OUT - Uber for Business [Travel],Travel,-1148
